FileName,IsDebuggerPresent,CheckRemoteDebuggerPresent,GetTickCount,OutputDebugStringA,FindWindowA,NtQueryInformationProcess,VirtualAlloc,WriteProcessMemory,ShellExecute,InternetOpen,Entropy_Max,Has_RWX,Imports_Count,Section_Count,Compile_Year,Label
wksprt.exe,1,0,1,1,0,0,1,0,1,0,7.30442702009416,0,319,7,0,1
WindowsActionDialog.exe,1,0,1,0,0,0,0,0,0,0,5.741878353849468,0,122,8,0,1
WPDShextAutoplay.exe,1,0,0,0,0,0,0,0,1,0,5.791383439396718,0,107,7,0,1
userinit.exe,1,0,0,0,0,1,0,0,0,0,6.089732804937044,0,146,8,0,1
UserAccountBroker.exe,1,0,1,0,0,0,0,0,0,0,5.6335127683283295,0,107,8,0,1
UCPDMgr.exe,1,0,0,0,0,0,0,0,0,0,6.409459726502878,0,107,7,0,1
Windows.Media.BackgroundPlayback.exe,1,0,0,0,0,0,0,0,0,0,4.886281111144677,0,56,7,2027,1
vdsldr.exe,0,0,1,0,0,0,1,0,0,0,5.598732110838572,0,128,7,0,1
updatecli.exe,1,0,0,0,0,0,0,0,0,0,5.897161857964481,0,104,7,1999,1
winlogon.exe,1,0,1,0,0,1,1,0,0,0,6.286387825931633,0,476,8,2030,1
wkspbroker.exe,1,0,1,1,0,0,0,0,1,0,6.273613906395064,0,252,8,2012,1
wiaacmgr.exe,1,0,0,0,0,0,1,0,0,0,5.822671888438966,0,168,7,2027,1
vulkaninfo-1-999-0-0-0.exe,1,0,0,0,0,0,0,0,0,0,5.829038578253754,0,111,9,2025,1
unlodctr.exe,1,0,0,0,0,0,0,0,0,0,6.0276580994370885,0,82,7,0,1
wscadminui.exe,0,0,1,0,0,0,0,0,0,0,3.3741262227015985,0,23,8,2030,1
WinCsFlags.exe,1,0,1,0,0,0,1,0,0,0,6.635022064991208,0,215,7,2025,1
wuauclt.exe,1,0,0,0,0,1,0,0,0,0,6.3310975971809205,0,132,7,2003,1
WpcMon.exe,1,0,1,0,0,0,0,0,1,0,6.464194945256846,0,391,9,1995,1
wifitask.exe,1,0,0,0,0,0,0,0,0,0,6.079255798561736,0,143,7,0,1
wermgr.exe,1,0,1,0,0,1,0,0,0,0,7.246170491571424,0,251,9,0,1
TSTheme.exe,0,0,1,1,0,0,0,0,0,0,6.018849274349813,0,128,8,2008,1
winload.exe,0,0,0,0,0,0,0,0,0,0,6.546458360507836,0,0,7,2005,1
wlrmdr.exe,1,0,1,0,0,1,0,0,1,0,6.079221658142481,0,172,9,0,1
WUDFHost.exe,1,0,0,0,0,0,0,0,0,0,6.166340092319861,0,174,8,0,1
UDCInfInstaller.exe,1,0,0,0,0,0,0,0,0,0,5.93548721235513,0,223,6,2024,1
winresume.exe,0,0,0,0,0,0,0,0,0,0,6.539294070125968,0,0,7,0,1
ttdinject.exe,1,0,0,0,0,1,1,1,0,0,6.361974784218332,0,178,6,0,1
wevtutil.exe,1,0,0,0,0,0,0,0,0,0,6.26419529232894,0,195,8,0,1
WSReset.exe,1,0,1,0,0,0,0,0,1,0,6.521909240640519,0,107,7,0,1
VaultCmd.exe,1,0,0,0,0,0,0,0,0,0,5.327199365874728,0,83,7,2025,1
VoiceAccess.exe,1,0,0,0,0,0,0,0,1,0,6.115312044953205,0,242,7,0,1
winver.exe,0,0,1,0,0,0,0,0,0,0,5.1794536854661315,0,37,7,2001,1
UIMgrBroker.exe,1,0,0,0,0,0,0,0,0,0,5.884086497493462,0,128,7,0,1
tzutil.exe,0,0,1,0,0,0,0,0,0,0,6.098461777226129,0,93,7,0,1
verifier.exe,0,0,1,0,0,0,0,0,0,0,6.097483002843395,0,159,8,0,1
vulkaninfo.exe,1,0,0,0,0,0,0,0,0,0,5.829038578253754,0,111,9,2025,1
waitfor.exe,0,0,1,0,0,0,0,0,0,0,5.623245549662022,0,97,7,0,1
upnpcont.exe,1,0,0,0,0,0,1,0,0,0,5.792765541154257,0,106,8,0,1
verclsid.exe,0,0,1,0,0,0,0,0,0,0,3.967242342524131,0,43,8,0,1
WallpaperHost.exe,1,0,1,0,0,0,0,0,0,0,5.85543274988969,0,60,7,0,1
WWAHost.exe,1,0,1,0,0,1,0,0,0,0,6.194620649770203,0,220,8,0,1
typeperf.exe,1,0,0,0,0,0,0,0,0,0,5.87428129636435,0,141,7,0,1
UPPrinterInstaller.exe,1,0,0,0,0,0,0,0,0,0,6.0589587636558475,0,120,8,0,1
WinRTNetMUAHostServer.exe,0,0,1,0,0,0,0,0,0,0,4.856623574310283,0,71,7,0,1
wimserv.exe,0,0,1,0,0,1,0,0,0,0,6.3782001947063005,0,239,8,0,1
ucsvc.exe,1,0,0,0,0,0,0,0,0,0,6.01102509016933,0,95,7,0,1
UtcDecoderHost.exe,1,0,1,0,0,0,0,0,0,0,6.0159599710770735,0,157,7,2012,1
wsqmcons.exe,1,0,1,0,0,0,0,0,0,0,6.107083994703017,0,104,7,2026,1
wpr.exe,1,0,0,0,0,0,0,0,0,0,6.225519930598347,0,248,7,0,1
wextract.exe,0,0,1,0,0,0,0,0,0,0,7.133248882849545,0,161,7,0,1
upfc.exe,1,0,0,0,0,0,0,0,0,0,6.269488875240354,0,150,7,0,1
wiawow64.exe,1,0,0,0,0,0,0,0,0,0,5.9917642388058505,0,114,7,0,1
UIEOrchestrator.exe,1,0,0,0,0,0,0,0,0,0,6.5363014622382,0,208,6,0,1
where.exe,0,0,1,0,0,0,0,0,0,0,5.785461437663214,0,99,7,0,1
wowreg32.exe,0,0,1,0,0,0,0,0,0,0,4.761699476242506,0,64,8,2003,1
tzsync.exe,0,0,0,0,0,0,0,0,0,0,5.977745351590465,0,0,2,0,1
UserDataSource.exe,1,0,0,0,0,0,0,0,0,0,5.807458772240302,0,100,7,2015,1
Windows.WARP.JITService.exe,1,0,0,0,0,0,0,0,0,0,6.024452180953288,0,102,8,0,1
Utilman.exe,1,0,0,0,0,0,0,0,1,0,6.159232755388193,0,236,9,2000,1
w32tm.exe,1,0,1,0,0,0,1,0,0,0,6.183850287729617,0,225,8,0,1
unregmp2.exe,1,0,1,0,0,0,0,0,1,0,5.80740607964965,0,163,7,0,1
WinSAT.exe,1,0,1,1,0,0,1,0,0,0,7.404271598806521,0,444,8,0,1
WSCollect.exe,0,0,1,0,0,0,0,0,0,0,6.505799154967672,0,65,7,0,1
xcopy.exe,0,0,1,0,0,0,0,0,0,0,5.682163184117998,0,175,7,0,1
WSManHTTPConfig.exe,0,0,1,0,0,0,0,0,0,0,5.4089278286153695,0,84,7,0,1
wusa.exe,1,0,1,0,0,0,0,0,1,0,7.231690846825428,0,236,7,0,1
wininit.exe,1,0,1,0,0,1,0,0,0,0,6.365047182866599,0,458,8,0,1
wpnpinst.exe,1,0,0,0,0,0,0,0,0,0,5.367731860395452,0,84,7,1997,1
wlanext.exe,1,0,1,0,0,0,0,0,0,0,6.20355685380562,0,119,8,0,1
TRACERT.EXE,0,0,1,0,0,0,0,0,0,0,5.966312695657799,0,65,7,2028,1
verifiergui.exe,0,0,1,0,0,0,0,0,0,0,5.8971872347960215,0,369,7,0,1
tttracer.exe,1,0,0,0,0,0,0,0,0,0,6.033547858851863,0,109,6,0,1
wbadmin.exe,1,0,1,0,0,0,0,0,0,0,6.386242030263131,0,232,7,2008,1
wsmprovhost.exe,0,0,1,0,0,0,0,0,0,0,5.376072968727866,0,75,8,0,1
wsl.exe,1,0,0,0,0,0,0,0,1,0,6.024305285069978,0,201,7,0,1
winrshost.exe,0,0,1,0,0,0,0,0,0,0,5.755660733376035,0,74,8,0,1
WinBioDataModelOOBE.exe,1,0,0,0,0,0,0,0,0,0,5.966962106399022,0,127,8,0,1
whoami.exe,0,0,1,0,0,0,0,0,0,0,5.944544562660171,0,127,7,0,1
wscript.exe,1,0,1,0,0,0,0,0,0,0,6.100857518679963,0,223,7,0,1
WorkFolders.exe,1,0,0,0,0,0,0,0,1,0,5.992814264762706,0,73,7,0,1
xwizard.exe,0,0,1,1,0,0,0,0,0,0,5.825214293031157,0,106,7,0,1
WMPDMC.exe,1,0,1,1,0,0,0,0,0,0,7.013100531337592,0,596,8,0,1
WindowsUpdateElevatedInstaller.exe,1,0,0,0,0,0,0,0,0,0,5.9438907321803205,0,81,7,0,1
UserAccountControlSettings.exe,1,0,1,0,0,0,0,0,0,0,6.4627992958920775,0,100,8,2007,1
UsoClient.exe,1,0,0,0,0,0,0,0,0,0,5.879271205267806,0,104,7,0,1
wuapihost.exe,1,0,0,0,0,0,0,0,0,0,6.274910632010634,0,74,6,1990,1
WerFault.exe,1,1,1,0,0,1,1,0,0,0,6.967443808881319,0,443,9,0,1
wecutil.exe,0,0,1,0,0,0,0,0,0,0,5.96734361492627,0,124,8,0,1
VSSVC.exe,1,0,1,0,0,1,1,0,0,0,6.059489475490012,0,252,8,0,1
vds.exe,1,0,1,0,0,0,1,0,0,0,6.165731353033661,0,385,8,0,1
UpgradeResultsUI.exe,1,0,0,0,0,0,0,0,0,0,5.656910266216489,0,102,9,0,1
XblGameSaveTask.exe,1,0,0,0,0,0,0,0,0,0,5.944520534822843,0,98,7,2029,1
UCConfigTask.exe,1,0,0,0,0,0,0,0,0,0,5.523718115523951,0,80,6,0,1
WerFaultSecure.exe,1,0,0,0,0,1,1,0,0,0,7.160142871100719,0,170,8,2026,1
WUDFCompanionHost.exe,1,0,0,0,0,0,0,0,0,0,6.061151867113687,0,194,9,0,1
vssadmin.exe,0,0,1,0,0,0,0,0,0,0,5.950788820320795,0,141,7,0,1
WpcTok.exe,1,0,1,0,0,0,0,0,0,0,6.126957246442662,0,193,8,0,1
wbengine.exe,1,0,1,1,0,0,0,0,0,0,6.443075579338608,0,415,7,0,1
TSWbPrxy.exe,1,0,1,1,0,0,0,0,0,0,5.867277823975458,0,145,7,0,1
winrs.exe,0,0,1,0,0,0,0,0,0,0,5.918400757676888,0,115,8,0,1
