FileName,IsDebuggerPresent,CheckRemoteDebuggerPresent,GetTickCount,OutputDebugStringA,FindWindowA,NtQueryInformationProcess,QueryPerformanceCounter,AntiDebug_Count,Label
wksprt.exe,1,0,1,1,0,0,1,4,1
WindowsActionDialog.exe,1,0,0,0,0,0,1,2,1
WPDShextAutoplay.exe,1,0,0,0,0,0,1,2,1
userinit.exe,1,0,0,0,0,1,1,3,1
UserAccountBroker.exe,1,0,1,0,0,0,1,3,1
UCPDMgr.exe,1,0,0,0,0,0,1,2,1
Windows.Media.BackgroundPlayback.exe,1,0,0,0,0,0,1,2,1
vdsldr.exe,0,0,1,0,0,0,1,2,1
updatecli.exe,1,0,0,0,0,0,1,2,1
winlogon.exe,1,0,1,0,0,1,1,4,1
wkspbroker.exe,1,0,1,1,0,0,1,4,1
wiaacmgr.exe,1,0,0,0,0,0,1,2,1
vulkaninfo-1-999-0-0-0.exe,1,0,0,0,0,0,1,2,1
unlodctr.exe,1,0,0,0,0,0,1,2,1
wscadminui.exe,0,0,1,0,0,0,1,2,1
WinCsFlags.exe,1,0,0,0,0,0,1,2,1
wuauclt.exe,1,0,0,0,0,1,1,3,1
WpcMon.exe,1,0,1,0,0,0,1,3,1
wifitask.exe,1,0,0,0,0,0,1,2,1
wermgr.exe,1,0,0,0,0,1,1,3,1
TSTheme.exe,0,0,1,1,0,0,1,3,1
winload.exe,0,0,0,0,0,0,0,0,1
wlrmdr.exe,1,0,1,0,0,1,1,4,1
WUDFHost.exe,1,0,0,0,0,0,1,2,1
UDCInfInstaller.exe,1,0,0,0,0,0,1,2,1
winresume.exe,0,0,0,0,0,0,0,0,1
ttdinject.exe,1,0,0,0,0,1,1,3,1
wevtutil.exe,1,0,0,0,0,0,1,2,1
WSReset.exe,1,0,1,0,0,0,1,3,1
VaultCmd.exe,1,0,0,0,0,0,1,2,1
VoiceAccess.exe,1,0,0,0,0,0,1,2,1
winver.exe,0,0,1,0,0,0,1,2,1
UIMgrBroker.exe,1,0,0,0,0,0,1,2,1
tzutil.exe,0,0,1,0,0,0,1,2,1
verifier.exe,0,0,1,0,0,0,1,2,1
vulkaninfo.exe,1,0,0,0,0,0,1,2,1
waitfor.exe,0,0,1,0,0,0,1,2,1
upnpcont.exe,1,0,0,0,0,0,1,2,1
verclsid.exe,0,0,1,0,0,0,1,2,1
WallpaperHost.exe,1,0,1,0,0,0,1,3,1
WWAHost.exe,1,0,1,0,0,1,1,4,1
typeperf.exe,1,0,0,0,0,0,1,2,1
UPPrinterInstaller.exe,1,0,0,0,0,0,1,2,1
WinRTNetMUAHostServer.exe,0,0,1,0,0,0,1,2,1
wimserv.exe,0,0,1,0,0,1,1,3,1
ucsvc.exe,1,0,0,0,0,0,1,2,1
UtcDecoderHost.exe,1,0,0,0,0,0,1,2,1
wsqmcons.exe,1,0,1,0,0,0,1,3,1
wpr.exe,1,0,0,0,0,0,1,2,1
wextract.exe,0,0,1,0,0,0,1,2,1
upfc.exe,1,0,0,0,0,0,1,2,1
wiawow64.exe,1,0,0,0,0,0,1,2,1
UIEOrchestrator.exe,1,0,0,0,0,0,1,2,1
where.exe,0,0,1,0,0,0,1,2,1
wowreg32.exe,0,0,1,0,0,0,1,2,1
tzsync.exe,0,0,0,0,0,0,0,0,1
UserDataSource.exe,1,0,0,0,0,0,1,2,1
Windows.WARP.JITService.exe,1,0,0,0,0,0,1,2,1
Utilman.exe,1,0,0,0,0,0,1,2,1
w32tm.exe,1,0,1,0,0,0,1,3,1
unregmp2.exe,1,0,1,0,0,0,1,3,1
WinSAT.exe,1,0,1,1,0,0,1,4,1
WSCollect.exe,0,0,1,0,0,0,1,2,1
xcopy.exe,0,0,1,0,0,0,1,2,1
WSManHTTPConfig.exe,0,0,1,0,0,0,1,2,1
wusa.exe,1,0,1,0,0,0,1,3,1
wininit.exe,1,0,1,0,0,1,1,4,1
wpnpinst.exe,1,0,0,0,0,0,1,2,1
wlanext.exe,1,0,1,0,0,0,1,3,1
TRACERT.EXE,0,0,1,0,0,0,1,2,1
verifiergui.exe,0,0,1,0,0,0,1,2,1
tttracer.exe,1,0,0,0,0,0,1,2,1
wbadmin.exe,1,0,1,0,0,0,1,3,1
wsmprovhost.exe,0,0,1,0,0,0,1,2,1
wsl.exe,1,0,0,0,0,0,1,2,1
winrshost.exe,0,0,1,0,0,0,1,2,1
WinBioDataModelOOBE.exe,1,0,0,0,0,0,1,2,1
whoami.exe,0,0,1,0,0,0,1,2,1
wscript.exe,1,0,1,0,0,0,1,3,1
WorkFolders.exe,1,0,0,0,0,0,1,2,1
xwizard.exe,0,0,1,1,0,0,1,3,1
WMPDMC.exe,1,0,1,1,0,0,1,4,1
benign.csv,0,0,0,0,0,0,0,0,1
WindowsUpdateElevatedInstaller.exe,1,0,0,0,0,0,1,2,1
UserAccountControlSettings.exe,1,0,1,0,0,0,1,3,1
UsoClient.exe,1,0,0,0,0,0,1,2,1
wuapihost.exe,1,0,0,0,0,0,1,2,1
WerFault.exe,1,1,1,0,0,1,1,5,1
wecutil.exe,0,0,1,0,0,0,1,2,1
VSSVC.exe,1,0,1,0,0,1,1,4,1
vds.exe,1,0,1,0,0,0,1,3,1
UpgradeResultsUI.exe,1,0,0,0,0,0,1,2,1
XblGameSaveTask.exe,1,0,0,0,0,0,1,2,1
UCConfigTask.exe,1,0,0,0,0,0,1,2,1
