FileName,IsDebuggerPresent,CheckRemoteDebuggerPresent,GetTickCount,OutputDebugStringA,FindWindowA,NtQueryInformationProcess,VirtualAlloc,WriteProcessMemory,ShellExecute,InternetOpen,Entropy_Max,Has_RWX,Imports_Count,Section_Count,Compile_Year,Label
a128bdfd9ccc0737d7fe955d49c44d17cfb119a832178aef3df23af772a2c04e.exe,0,0,0,0,0,0,0,0,0,0,5.574111964888082,0,1,3,2020,1
wimserv.exe,0,0,1,0,0,1,0,0,0,0,6.3782001947063005,0,239,8,0,0
eb501fdfab9e81174cb5ddb23a75445939ad20110419983c8fe526ffb065f0dd.exe,0,0,1,0,1,0,1,0,1,0,7.354483629694331,0,432,8,1991,1
wiawow64.exe,1,0,0,0,0,0,0,0,0,0,5.9917642388058505,0,114,7,0,0
winload.exe,0,0,0,0,0,0,0,0,0,0,6.546458360507836,0,0,7,2005,0
wuapihost.exe,1,0,0,0,0,0,0,0,0,0,6.274910632010634,0,74,6,1990,0
f6e897ad1b6e528be9e2caa9cb1ad48d451b354681636e160cc4e9c7a0c6ab43.exe,0,0,0,0,0,0,0,0,0,0,7.147884318191784,0,11,6,2018,1
fee0081df5ca6a21953f3a633f2f64b7c0701977623d3a4ec36fff282ffe73b9.exe,0,0,1,0,0,0,1,0,0,0,6.499532688291666,0,106,5,2014,1
af21243da675a515c8e2ca9d00b5628c1201125b1a29d46a9df0cb0b63769942.exe,0,0,0,0,0,0,0,0,0,0,5.6350055934446575,0,1,3,2020,1
c458849465e25bcdc935e8a2db439ecb9e3cc099cd31b0f510dc77fc0d6704cc.exe,0,0,0,0,0,0,0,0,0,0,7.774493254708429,0,1,3,0,1
f49e7d90e44091331a7858ff19947ab40d062a2e32bbff120b863c67118e0d83.exe,0,0,0,0,0,0,1,0,0,0,7.92915635496767,1,21,3,2012,1
TSTheme.exe,0,0,1,1,0,0,0,0,0,0,6.018849274349813,0,128,8,2008,0
c599f3ca3417169e4a620b8231f8a97ccc63e291b9e09c888e6807dd90f1f17c.exe,0,0,0,0,0,0,0,0,0,0,5.424269447816209,0,1,3,2017,1
b0a296e50332c3e9b1a50247c8c9818a9e8dd9269ce786ecda84116f85f4d655.exe,0,0,0,0,0,0,0,0,0,0,4.695882179963774,0,1,3,2020,1
WinSAT.exe,1,0,1,1,0,0,1,0,0,0,7.404271598806521,0,444,8,0,0
aa3495431d12c76a03779a8ce27607476506440ee51d9d79086f446bba7a7f39.exe,0,0,0,0,0,0,0,0,0,0,5.781860169305071,0,0,2,2018,1
where.exe,0,0,1,0,0,0,0,0,0,0,5.785461437663214,0,99,7,0,0
e33456c26d161b3464acdc104271289dced8f4e5f5b35786635ec111501c1405.exe,0,0,0,0,0,0,1,0,1,0,6.641293723761439,0,208,4,2012,1
wermgr.exe,1,0,1,0,0,1,0,0,0,0,7.246170491571424,0,251,9,0,0
bbcb85929cfc7f9761b8bbbd06f473b2ad14b885e1cc2874c2f94d14af2b0b6a.exe,0,0,0,0,0,0,0,0,0,0,6.209874906301673,0,65,3,2018,1
WorkFolders.exe,1,0,0,0,0,0,0,0,1,0,5.992814264762706,0,73,7,0,0
WSCollect.exe,0,0,1,0,0,0,0,0,0,0,6.505799154967672,0,65,7,0,0
ttdinject.exe,1,0,0,0,0,1,1,1,0,0,6.361974784218332,0,178,6,0,0
Windows.Media.BackgroundPlayback.exe,1,0,0,0,0,0,0,0,0,0,4.886281111144677,0,56,7,2027,0
acdbf9fccd6e9fef6459322fb9ea0b1767815413a9a9d91407b87c7834ae77a0.exe,1,0,1,0,0,0,0,0,0,0,6.448719218416508,0,95,4,2011,1
WUDFHost.exe,1,0,0,0,0,0,0,0,0,0,6.166340092319861,0,174,8,0,0
dca1d9c848c823c2a06e7e4108c0b89c91b4f08a0909c91e537a060eba25b788.exe,0,0,0,0,0,0,0,0,0,0,5.550493106818749,0,1,3,2020,1
wininit.exe,1,0,1,0,0,1,0,0,0,0,6.365047182866599,0,458,8,0,0
ff74910fadbf214950608806110debda7a3728df1cdfc60beeec74b74317ead8.exe,0,0,0,0,0,0,0,0,0,0,7.4460008827951425,1,5,3,2017,1
wextract.exe,0,0,1,0,0,0,0,0,0,0,7.133248882849545,0,161,7,0,0
wlrmdr.exe,1,0,1,0,0,1,0,0,1,0,6.079221658142481,0,172,9,0,0
wsl.exe,1,0,0,0,0,0,0,0,1,0,6.024305285069978,0,201,7,0,0
c94fe7b646b681ac85756b4ce7f85f4745a7b505f1a2215ba8b58375238bad10.exe,0,0,0,0,0,0,0,0,0,0,7.255743249532304,0,34,5,2018,1
773186144282a63cc3502ad10a3d8fd781a6c83eaabf06de4369b4ef96d93178.exe,0,0,0,0,0,0,0,0,0,0,6.464884854924138,0,13,5,2017,1
wscript.exe,1,0,1,0,0,0,0,0,0,0,6.100857518679963,0,223,7,0,0
db3dc621a55c6535d327ff8564558ad82edbf9ab1b424ab0d093df443b9562fd.exe,0,0,0,0,0,0,1,0,0,0,7.980175935809679,1,21,3,2018,1
typeperf.exe,1,0,0,0,0,0,0,0,0,0,5.87428129636435,0,141,7,0,0
upfc.exe,1,0,0,0,0,0,0,0,0,0,6.269488875240354,0,150,7,0,0
wsmprovhost.exe,0,0,1,0,0,0,0,0,0,0,5.376072968727866,0,75,8,0,0
a467974c13cbee341c08fd0a51c28bf7cc7e482ff078a9d0ed96371b2ced5d95.exe,0,0,1,0,0,0,0,0,0,0,6.23395398965087,0,67,1,2018,1
WpcMon.exe,1,0,1,0,0,0,0,0,1,0,6.464194945256846,0,391,9,1995,0
verifiergui.exe,0,0,1,0,0,0,0,0,0,0,5.8971872347960215,0,369,7,0,0
